Episode,DateEpisode,TotalCases,Imported,Mechanism,DateOneCase,DateMoreOneCase,DateImported,DateMoreFiveCases,VIM,KPC,OXA48,NDM,Department,Region
199,18/09/2012,1,O,NDM-1  ,18/09/2012,,18/09/2012,,,,,18/09/2012,974,La Reunion
200,20/09/2012,1,O,KPC  ,20/09/2012,,20/09/2012,,,20/09/2012,,,92,IledeFrance
201,25/10/2012,1,O,NDM-1  ,25/10/2012,,25/10/2012,,,,,25/10/2012,75,IledeFrance
202,27/10/2012,1,O,OXA-48  ,27/10/2012,,27/10/2012,,,,27/10/2012,,94,IledeFrance
203,18/10/2012,1,O,OXA-48  ,18/10/2012,,18/10/2012,,,,18/10/2012,,92,IledeFrance
204,19/09/2012,1,O,OXA-48  ,19/09/2012,,19/09/2012,,,,19/09/2012,,75,IledeFrance
205,19/10/2012,1,O,OXA-48  ,19/10/2012,,19/10/2012,,,,19/10/2012,,75,IledeFrance
206,9/10/12,1,O,KPC  ,9/10/12,,9/10/12,,,9/10/12,,,75,IledeFrance
207,9/10/12,1,O,NDM-1  ,9/10/12,,9/10/12,,,,,9/10/12,75,IledeFrance
208,4/10/12,1,O,OXA-48  ,4/10/12,,4/10/12,,,,4/10/12,,34,Occitanie
209,29/10/2012,1,O,OXA-48  ,29/10/2012,,29/10/2012,,,,29/10/2012,,61,Normandie
210,9/11/12,1,O,OXA-48  ,9/11/12,,9/11/12,,,,9/11/12,,94,IledeFrance
211,12/11/12,1,O,OXA-48  ,12/11/12,,12/11/12,,,,12/11/12,,75,IledeFrance
212,21/10/2012,1,O,OXA-48  ,21/10/2012,,21/10/2012,,,,21/10/2012,,75,IledeFrance
213,17/11/2012,1,O,OXA-48  ,17/11/2012,,17/11/2012,,,,17/11/2012,,75,IledeFrance
214,26/11/2012,3,O,OXA-48  ,,26/11/2012,26/11/2012,,,,26/11/2012,,34,Occitanie
215,5/12/12,1,O,OXA-48  ,5/12/12,,5/12/12,,,,5/12/12,,92,IledeFrance
216,23/11/2012,1,O,OXA-48  ,23/11/2012,,23/11/2012,,,,23/11/2012,,94,IledeFrance
217,18/11/2012,1,O,KPC NDM ,18/11/2012,,18/11/2012,,,18/11/2012,,18/11/2012,75,IledeFrance
218,6/11/12,1,O,OXA-48  ,6/11/12,,6/11/12,,,,6/11/12,,75,IledeFrance
219,27/12/2012,1,O,OXA-48  ,27/12/2012,,27/12/2012,,,,27/12/2012,,75,IledeFrance
220,20/12/2012,1,O,OXA-48  ,20/12/2012,,20/12/2012,,,,20/12/2012,,42,AuvergneRhoneAlpes
221,18/12/2012,1,O,OXA-48  ,18/12/2012,,18/12/2012,,,,18/12/2012,,95,IledeFrance
222,22/12/2012,2,O,OXA-48  ,,22/12/2012,22/12/2012,,,,22/12/2012,,13,ProvenceAlpesCotedAzur
223,14/12/2012,1,O,KPC  ,14/12/2012,,14/12/2012,,,14/12/2012,,,69,AuvergneRhoneAlpes
224,28/12/2012,1,O,NDM  ,28/12/2012,,28/12/2012,,,,,28/12/2012,91,IledeFrance
225,8/3/13,1,O,OXA-48  ,8/3/13,,8/3/13,,,,8/3/13,,34,Occitanie
226,7/1/13,1,O,OXA-48  ,7/1/13,,7/1/13,,,,7/1/13,,38,AuvergneRhoneAlpes
227,14/12/2012,1,O,KPC  ,14/12/2012,,14/12/2012,,,14/12/2012,,,73,AuvergneRhoneAlpes
228,20/01/2013,5,O,OXA-48  ,,20/01/2013,20/01/2013,,,,20/01/2013,,93,IledeFrance
229,27/11/2012,1,O,OXA-48  ,27/11/2012,,27/11/2012,,,,27/11/2012,,78,IledeFrance
230,16/01/2013,1,O,NDM  ,16/01/2013,,16/01/2013,,,,,16/01/2013,77,IledeFrance
231,19/01/2013,1,O,NDM  ,19/01/2013,,19/01/2013,,,,,19/01/2013,92,IledeFrance
232,24/01/2013,1,O,OXA-48  ,24/01/2013,,24/01/2013,,,,24/01/2013,,92,IledeFrance
233,2/2/13,1,O,OXA-48  ,2/2/13,,2/2/13,,,,2/2/13,,67,Grand Est
234,25/01/2013,1,O,NDM-1  ,25/01/2013,,25/01/2013,,,,,25/01/2013,75,IledeFrance
235,19/02/2013,1,O,NDM  ,19/02/2013,,19/02/2013,,,,,19/02/2013,93,IledeFrance
236,6/12/12,1,O,OXA-48  ,6/12/12,,6/12/12,,,,6/12/12,,74,AuvergneRhoneAlpes
237,1/11/12,1,O,OXA-48  ,1/11/12,,1/11/12,,,,1/11/12,,75,IledeFrance
238,25/02/2013,1,O,OXA-48  ,25/02/2013,,25/02/2013,,,,25/02/2013,,75,IledeFrance
239,1/11/12,2,O,NDM  ,,1/11/12,1/11/12,,,,,1/11/12,92,IledeFrance
240,28/02/2013,4,O,OXA-48  ,,28/02/2013,28/02/2013,,,,28/02/2013,,75,IledeFrance
241,8/2/13,1,O,OXA-48  ,8/2/13,,8/2/13,,,,8/2/13,,95,IledeFrance
242,25/02/2013,1,O,OXA-48  ,25/02/2013,,25/02/2013,,,,25/02/2013,,94,IledeFrance
243,11/3/13,1,O,OXA-48  ,11/3/13,,11/3/13,,,,11/3/13,,6,ProvenceAlpesCotedAzur
244,8/3/13,1,O,NDM  ,8/3/13,,8/3/13,,,,,8/3/13,37,Centre-Val de Loire
245,24/02/2013,1,O,OXA-48  ,24/02/2013,,24/02/2013,,,,24/02/2013,,92,IledeFrance
246,28/02/2013,2,O,NDM-1  ,,28/02/2013,28/02/2013,,,,,28/02/2013,974,La Reunion
247,15/08/2012,1,O,OXA-48  ,15/08/2012,,15/08/2012,,,,15/08/2012,,91,IledeFrance
