Episode;DateEpisode;TotalCases;Imported;Mechanism;DateOneCase;DateMoreOneCase;DateImported;DateMoreFiveCases;VIM;KPC;OXA48;NDM;Department;Region
133;06/10/2011;1;N;OXA-48  ;06/10/2011;;;;;;06/10/2011;;92;Ile-de-France
134;10/10/2011;1;O;OXA-48  ;10/10/2011;;10/10/2011;;;;10/10/2011;;59;Hauts-de-France
135;10/10/2011;1;O;VIM  ;10/10/2011;;10/10/2011;;10/10/2011;;;;83;Provence-Alpes-Cote d'Azur
136;12/10/2011;1;N;OXA-48  ;12/10/2011;;;;;;12/10/2011;;93;Ile-de-France
137;18/10/2011;1;N;KPC  ;18/10/2011;;;;;18/10/2011;;;38;Auvergne-Rhone-Alpes
138;19/10/2011;1;O;OXA-48  ;19/10/2011;;19/10/2011;;;;19/10/2011;;92;Ile-de-France
139;24/10/2011;121;N;OXA-48  ;;24/10/2011;;24/10/2011;;;24/10/2011;;10;Grand Est
140;25/10/2011;1;O;OXA-48  ;25/10/2011;;25/10/2011;;;;25/10/2011;;6;Provence-Alpes-Cote d'Azur
141;26/10/2011;1;O;OXA-48  ;26/10/2011;;26/10/2011;;;;26/10/2011;;75;Ile-de-France
142;27/10/2011;1;N;OXA-48  ;27/10/2011;;;;;;27/10/2011;;83;Provence-Alpes-Cote d'Azur
143;28/10/2011;1;O;NDM-1  ;28/10/2011;;28/10/2011;;;;;28/10/2011;94;Ile-de-France
144;28/10/2011;1;N;OXA-48  ;28/10/2011;;;;;;28/10/2011;;31;Occitanie
145;03/11/2011;1;N;OXA-48  ;03/11/2011;;;;;;03/11/2011;;57;Grand Est
146;04/11/2011;1;O;OXA-48  ;04/11/2011;;04/11/2011;;;;04/11/2011;;75;Ile-de-France
147;08/11/2011;1;O;VIM  ;08/11/2011;;08/11/2011;;08/11/2011;;;;94;Ile-de-France
148;09/11/2011;1;O;OXA-48  ;09/11/2011;;09/11/2011;;;;09/11/2011;;75;Ile-de-France
149;09/11/2011;1;O;OXA-48  ;09/11/2011;;09/11/2011;;;;09/11/2011;;75;Ile-de-France
150;09/11/2011;1;O;KPC  ;09/11/2011;;09/11/2011;;;09/11/2011;;;6;Provence-Alpes-Cote d'Azur
151;18/11/2011;1;O;NDM-1  ;18/11/2011;;18/11/2011;;;;;18/11/2011;974;La Reunion
152;19/11/2011;1;N;OXA-48  ;19/11/2011;;;;;;19/11/2011;;37;Centre-Val de Loire
153;21/11/2011;1;O;OXA-48  ;21/11/2011;;21/11/2011;;;;21/11/2011;;59;Hauts-de-France
154;21/11/2011;4;O;OXA-48  ;;21/11/2011;21/11/2011;;;;21/11/2011;;69;Auvergne-Rhone-Alpes
155;27/11/2011;1;N;IMI  ;27/11/2011;;;;;;;;59;Hauts-de-France
156;01/12/2011;1;O;OXA-48  ;01/12/2011;;01/12/2011;;;;01/12/2011;;92;Ile-de-France
157;08/12/2011;1;O;NDM  ;08/12/2011;;08/12/2011;;;;;08/12/2011;75;Ile-de-France
158;08/12/2011;2;O;KPC  ;;08/12/2011;08/12/2011;;;08/12/2011;;;75;Ile-de-France
